clip_id,dataset_name,language,model_name,metric_name,error_rate,cleaned_metric_name,cleaned_error_rate,operation,error_category,impact,reference_span,hypothesis_span,reference_tokens,hypothesis_tokens,reason,recommendation
fleurs_fr_1524,Google FLEURS,fr,tiny,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,le,ou,"[""le""]","[""ou""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1524,Google FLEURS,fr,tiny,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,le,une,"[""le""]","[""une""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1524,Google FLEURS,fr,tiny,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,la,une,"[""la""]","[""une""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1570,Google FLEURS,fr,tiny,WER,0.565217,,,replace,semantic_word_error,meaning_may_change,le,de,"[""le""]","[""de""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1570,Google FLEURS,fr,tiny,WER,0.565217,,,replace,semantic_word_error,meaning_may_change,déroger aux lois fiscales ni à celles,dire roger odemaficale il n'y a sènes,"[""déroger"", ""aux"", ""lois"", ""fiscales"", ""ni"", ""à"", ""celles""]","[""dire"", ""roger"", ""odemaficale"", ""il"", ""n'y"", ""a"", ""sènes""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1570,Google FLEURS,fr,tiny,WER,0.565217,,,replace,semantic_word_error,meaning_may_change,droits,3,"[""droits""]","[""3""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1570,Google FLEURS,fr,tiny,WER,0.565217,,,replace,semantic_word_error,meaning_may_change,douane entre les,doigts à notre des,"[""douane"", ""entre"", ""les""]","[""doigts"", ""à"", ""notre"", ""des""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,largement,l'argentant,"[""largement""]","[""l'argentant""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,la,à,"[""la""]","[""à""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,javanaise propose,j'avenez à se proposer,"[""javanaise"", ""propose""]","[""j'avenez"", ""à"", ""se"", ""proposer""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,plats,place,"[""plats""]","[""place""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,assaisonnés les saveurs prédominantes,à ses honnées dès avoir prédominante,"[""assaisonnés"", ""les"", ""saveurs"", ""prédominantes""]","[""à"", ""ses"", ""honnées"", ""dès"", ""avoir"", ""prédominante""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,les javanais privilégient étant les cacahuètes les piments,le j'avenez privilégie est en écaquette l'épimant,"[""les"", ""javanais"", ""privilégient"", ""étant"", ""les"", ""cacahuètes"", ""les"", ""piments""]","[""le"", ""j'avenez"", ""privilégie"", ""est"", ""en"", ""écaquette"", ""l'épimant""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,delete,omission_or_insertion,meaning_may_change,le,,"[""le""]",[],content was omitted or inserted,Inspect audio and segment boundaries; consider VAD/chunking changes.
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,coco javanais,gauche avanée,"[""coco"", ""javanais""]","[""gauche"", ""avanée""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,tiny,WER,0.634146,,,replace,semantic_word_error,meaning_may_change,aromatiques,à remettre,"[""aromatiques""]","[""à"", ""remettre""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,tiny,WER,0.666667,,,replace,semantic_word_error,meaning_may_change,formats courants,formes à courant,"[""formats"", ""courants""]","[""formes"", ""à"", ""courant""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,tiny,WER,0.666667,,,replace,semantic_word_error,meaning_may_change,formats aps,formes à paix,"[""formats"", ""aps""]","[""formes"", ""à"", ""paix""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,tiny,WER,0.666667,,,replace,semantic_word_error,meaning_may_change,sont égaux,sans égote,"[""sont"", ""égaux""]","[""sans"", ""égote""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,tiny,WER,0.666667,,,replace,semantic_word_error,meaning_may_change,ce rapport,se rapporter,"[""ce"", ""rapport""]","[""se"", ""rapporter""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,tiny,WER,0.666667,,,replace,semantic_word_error,meaning_may_change,ou s'en approchent,au son rapproche,"[""ou"", ""s'en"", ""approchent""]","[""au"", ""son"", ""rapproche""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,tiny,WER,0.666667,,,replace,semantic_word_error,meaning_may_change,près,vrai,"[""près""]","[""vrai""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1652,Google FLEURS,fr,tiny,WER,0.222222,,,replace,semantic_word_error,meaning_may_change,moldavie,moldavi,"[""moldavie""]","[""moldavi""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1652,Google FLEURS,fr,tiny,WER,0.222222,,,replace,semantic_word_error,meaning_may_change,christianisme,cristianisme,"[""christianisme""]","[""cristianisme""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1579,Google FLEURS,zh-CN,tiny,CER,0.022727,,,replace,semantic_word_error,meaning_may_change,报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱,报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走下混乱,"[""报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱""]","[""报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走下混乱""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1605,Google FLEURS,zh-CN,tiny,CER,0.371429,,,replace,semantic_word_error,meaning_may_change,因为远离大陆哺乳动物无法长途跋涉而来使得巨龟成为科隆群岛主要的食草动物,因为远离大陆迫入动物无法长度发生了而来使得聚会成为克隆群的主要食堂的物,"[""因为远离大陆哺乳动物无法长途跋涉而来使得巨龟成为科隆群岛主要的食草动物""]","[""因为远离大陆迫入动物无法长度发生了而来使得聚会成为克隆群的主要食堂的物""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1581,Google FLEURS,zh-CN,tiny,CER,0.192308,,,replace,semantic_word_error,meaning_may_change,亚马逊河也是地球上最宽的河流有些河段的宽度可达6英里,亚马逊合也是地球上最宽的合流有些合作的宽度可达6英灵,"[""亚马逊河也是地球上最宽的河流有些河段的宽度可达6英里""]","[""亚马逊合也是地球上最宽的合流有些合作的宽度可达6英灵""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1648,Google FLEURS,zh-CN,tiny,CER,0.533333,,,replace,semantic_word_error,meaning_may_change,迦南没有大森林所以木材非常昂贵,加难没有大声所以稳散非常安慰,"[""迦南没有大森林所以木材非常昂贵""]","[""加难没有大声所以稳散非常安慰""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1588,Google FLEURS,zh-CN,tiny,CER,0.26087,,,replace,semantic_word_error,meaning_may_change,据警方称撞倒摄影师的汽车司机未必会面临刑事指控,据警方程撞到摔影师的汽车司机未必迷回面临行事指控,"[""据警方称撞倒摄影师的汽车司机未必会面临刑事指控""]","[""据警方程撞到摔影师的汽车司机未必迷回面临行事指控""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,delete,disfluency_or_style_error,mostly_style_or_reference_policy,um,,"[""um""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,replace,semantic_word_error,meaning_may_change,this is,it's,"[""this"", ""is""]","[""it's""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,replace,semantic_word_error,meaning_may_change,kick-off,kick off,"[""kick-off""]","[""kick"", ""off""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,delete,function_word_error,meaning_may_change,our,,"[""our""]",[],short pronoun/preposition/function-word change,Use stronger ASR/context; glossary RAG should usually avoid this.
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,delete,disfluency_or_style_error,mostly_style_or_reference_policy,um,,"[""um""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,delete,disfluency_or_style_error,mostly_style_or_reference_policy,um,,"[""um""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,replace,disfluency_or_style_error,mostly_style_or_reference_policy,gonna,going to,"[""gonna""]","[""going"", ""to""]","filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,replace,semantic_word_error,meaning_may_change,twenty five,25,"[""twenty"", ""five""]","[""25""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
ami_es2002a_01,AMI Meeting Corpus,en,tiny,WER,0.4375,WER_DISFLUENCY_CLEANED,0.307692,delete,disfluency_or_style_error,mostly_style_or_reference_policy,mm-hmm um,,"[""mm-hmm"", ""um""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,delete,disfluency_or_style_error,mostly_style_or_reference_policy,minutes mm-hmm um,,"[""minutes"", ""mm-hmm"", ""um""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,replace,semantic_word_error,meaning_may_change,just,it is,"[""just""]","[""it"", ""is""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,delete,omission_or_insertion,meaning_may_change,kind of,,"[""kind"", ""of""]",[],content was omitted or inserted,Inspect audio and segment boundaries; consider VAD/chunking changes.
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,delete,omission_or_insertion,meaning_may_change,great,,"[""great""]",[],content was omitted or inserted,Inspect audio and segment boundaries; consider VAD/chunking changes.
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,delete,omission_or_insertion,meaning_may_change,hi,,"[""hi""]",[],content was omitted or inserted,Inspect audio and segment boundaries; consider VAD/chunking changes.
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,replace,function_word_error,meaning_may_change,an,in,"[""an""]","[""in""]",short pronoun/preposition/function-word change,Use stronger ASR/context; glossary RAG should usually avoid this.
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,replace,semantic_word_error,meaning_may_change,designer okay and,design,"[""designer"", ""okay"", ""and""]","[""design""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,delete,disfluency_or_style_error,mostly_style_or_reference_policy,uh,,"[""uh""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
ami_es2002a_02,AMI Meeting Corpus,en,tiny,WER,0.267857,WER_DISFLUENCY_CLEANED,0.211538,delete,disfluency_or_style_error,mostly_style_or_reference_policy,um,,"[""um""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
fleurs_en_1620,Google FLEURS,en,base,WER,0.121212,,,replace,semantic_word_error,meaning_may_change,javanese,japanese,"[""javanese""]","[""japanese""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,base,WER,0.121212,,,replace,semantic_word_error,meaning_may_change,javanese,japanese,"[""javanese""]","[""japanese""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,base,WER,0.121212,,,replace,semantic_word_error,meaning_may_change,chillies,chilies,"[""chillies""]","[""chilies""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1620,Google FLEURS,en,base,WER,0.121212,,,replace,semantic_word_error,meaning_may_change,javanese,japanese,"[""javanese""]","[""japanese""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1510,Google FLEURS,en,base,WER,0.05,,,replace,semantic_word_error,meaning_may_change,u.n,un,"[""u.n""]","[""un""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1578,Google FLEURS,en,base,WER,0.6,,,replace,semantic_word_error,meaning_may_change,lakkha singh took,lock us in to,"[""lakkha"", ""singh"", ""took""]","[""lock"", ""us"", ""in"", ""to""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_en_1578,Google FLEURS,en,base,WER,0.6,,,replace,function_word_error,meaning_may_change,in,and,"[""in""]","[""and""]",short pronoun/preposition/function-word change,Use stronger ASR/context; glossary RAG should usually avoid this.
fleurs_en_1578,Google FLEURS,en,base,WER,0.6,,,replace,semantic_word_error,meaning_may_change,bhajans,passions,"[""bhajans""]","[""passions""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1524,Google FLEURS,fr,base,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,telles,dès,"[""telles""]","[""dès""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1524,Google FLEURS,fr,base,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,le,une,"[""le""]","[""une""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1524,Google FLEURS,fr,base,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,la,une,"[""la""]","[""une""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1524,Google FLEURS,fr,base,WER,0.105263,,,replace,semantic_word_error,meaning_may_change,dirigeant,d'argent,"[""dirigeant""]","[""d'argent""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1570,Google FLEURS,fr,base,WER,0.391304,,,replace,semantic_word_error,meaning_may_change,déroger aux lois fiscales ni à,diriger au même fiscal il y a,"[""déroger"", ""aux"", ""lois"", ""fiscales"", ""ni"", ""à""]","[""diriger"", ""au"", ""même"", ""fiscal"", ""il"", ""y"", ""a""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1570,Google FLEURS,fr,base,WER,0.391304,,,replace,semantic_word_error,meaning_may_change,douane entre,bois d'entre,"[""douane"", ""entre""]","[""bois"", ""d'entre""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,base,WER,0.317073,,,replace,semantic_word_error,meaning_may_change,javanaise,javaneuse,"[""javanaise""]","[""javaneuse""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,base,WER,0.317073,,,replace,semantic_word_error,meaning_may_change,plats,passe,"[""plats""]","[""passe""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,base,WER,0.317073,,,replace,semantic_word_error,meaning_may_change,assaisonnés les saveurs,à ses onnets des savers,"[""assaisonnés"", ""les"", ""saveurs""]","[""à"", ""ses"", ""onnets"", ""des"", ""savers""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,base,WER,0.317073,,,replace,semantic_word_error,meaning_may_change,les javanais privilégient,le javane est privé léger,"[""les"", ""javanais"", ""privilégient""]","[""le"", ""javane"", ""est"", ""privé"", ""léger""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1620,Google FLEURS,fr,base,WER,0.317073,,,replace,semantic_word_error,meaning_may_change,javanais,javane,"[""javanais""]","[""javane""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,base,WER,0.333333,,,replace,semantic_word_error,meaning_may_change,famille,familles,"[""famille""]","[""familles""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,base,WER,0.333333,,,replace,semantic_word_error,meaning_may_change,formats,formes,"[""formats""]","[""formes""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,base,WER,0.333333,,,replace,semantic_word_error,meaning_may_change,sont égaux,sans égo,"[""sont"", ""égaux""]","[""sans"", ""égo""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,base,WER,0.333333,,,replace,semantic_word_error,meaning_may_change,s'en approchent,sans rapproche,"[""s'en"", ""approchent""]","[""sans"", ""rapproche""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1533,Google FLEURS,fr,base,WER,0.333333,,,replace,semantic_word_error,meaning_may_change,près,vrai,"[""près""]","[""vrai""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1652,Google FLEURS,fr,base,WER,0.222222,,,replace,semantic_word_error,meaning_may_change,moldavie,moldavia,"[""moldavie""]","[""moldavia""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_fr_1652,Google FLEURS,fr,base,WER,0.222222,,,replace,semantic_word_error,meaning_may_change,christianisme,cristianisme,"[""christianisme""]","[""cristianisme""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1579,Google FLEURS,zh-CN,base,CER,0.022727,,,replace,semantic_word_error,meaning_may_change,报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱,报告就告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱,"[""报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱""]","[""报告就告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1605,Google FLEURS,zh-CN,base,CER,0.2,,,replace,semantic_word_error,meaning_may_change,因为远离大陆哺乳动物无法长途跋涉而来使得巨龟成为科隆群岛主要的食草动物,因为远离大陆铺乳动物无法长度发射而来使得巨龟成为克龙群岛主要的施草动物,"[""因为远离大陆哺乳动物无法长途跋涉而来使得巨龟成为科隆群岛主要的食草动物""]","[""因为远离大陆铺乳动物无法长度发射而来使得巨龟成为克龙群岛主要的施草动物""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1581,Google FLEURS,zh-CN,base,CER,0.115385,,,replace,semantic_word_error,meaning_may_change,亚马逊河也是地球上最宽的河流有些河段的宽度可达6英里,亚马逊河也是地球上最宽的河流有些合作的宽度可搭6英里,"[""亚马逊河也是地球上最宽的河流有些河段的宽度可达6英里""]","[""亚马逊河也是地球上最宽的河流有些合作的宽度可搭6英里""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1648,Google FLEURS,zh-CN,base,CER,0.066667,,,replace,semantic_word_error,meaning_may_change,迦南没有大森林所以木材非常昂贵,加南没有大森林所以木材非常昂贵,"[""迦南没有大森林所以木材非常昂贵""]","[""加南没有大森林所以木材非常昂贵""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
fleurs_zh_cn_1588,Google FLEURS,zh-CN,base,CER,0.043478,,,replace,semantic_word_error,meaning_may_change,据警方称撞倒摄影师的汽车司机未必会面临刑事指控,据警方称撞倒摄影师的汽车司机未必会面临行事指控,"[""据警方称撞倒摄影师的汽车司机未必会面临刑事指控""]","[""据警方称撞倒摄影师的汽车司机未必会面临行事指控""]",content word substitution not covered by specialized categories,"Collect more examples, then decide whether ASR API or targeted RAG helps."
ami_es2002a_01,AMI Meeting Corpus,en,base,WER,0.5625,WER_DISFLUENCY_CLEANED,0.461538,delete,disfluency_or_style_error,mostly_style_or_reference_policy,um,,"[""um""]",[],"filler, contraction, repeated word, or spelling style changed",Report cleaned WER separately; do not optimize RAG for this category.
