clip_id,model_name,source_text,replacement_text,canonical_term,category,decision,wer_delta,term_recall_delta,reason
earnings22_4446796_0000_180s,base,EBDA,,EBITDA,needs_review,needs_review,0.000000,0.000000,"Likely ASR error for EBITDA, but not in glossary; context is financial results."
earnings22_4446796_0000_180s,base,MFDNA,,SG&A,needs_review,needs_review,0.000000,0.000000,Unclear acronym; possibly 'SG&A' but not in glossary; context is expenses.
earnings22_4446796_0000_180s,base,mixed effects,,mix effects,needs_review,needs_review,0.000000,0.000000,"Possible ASR error for 'mix effects' (product mix), but not in glossary."
earnings22_4483623_0000_180s,base,42 cents per share,42 cents a share,cents a share,number_unit,applied,0.002198,0.000000,Glossary term 'cents a share' with aliases 'cents per share'; dividend context present.
earnings22_4470290_0000_180s,base,U.S.,UEPS,UEPS,company_name,applied,0.000000,0.000000,"Glossary lists 'U.S.' as an ASR error form for UEPS, and the context is Net1/Technologies earnings call."
earnings22_4470290_0000_180s,base,Desfigures,,Aspen,needs_review,needs_review,0.000000,0.000000,Plausible company name error but not in glossary; no direct evidence.
earnings22_4470290_0000_180s,base,Tadya Mirenberg,,Natalia,needs_review,needs_review,0.000000,0.000000,"Name mismatch; later speaker is 'Natalia', but no glossary entry."
earnings22_4470290_0000_180s,base,regard,,results,needs_review,needs_review,0.000000,0.000000,Likely ASR error for 'results' but not in glossary.
earnings22_4470290_0000_180s,base,non-gov,,non-GAAP,needs_review,needs_review,0.000000,0.000000,Glossary has 'non-GAAP' but 'non-gov' is not listed as an error form.
earnings22_4470290_0000_180s,base,the course of the statement,,forward-looking statements,needs_review,needs_review,0.000000,0.000000,Common phrase but not in glossary.
earnings22_4470290_0000_180s,base,offshore results,,actual results,needs_review,needs_review,0.000000,0.000000,Likely ASR error but not in glossary.
earnings22_4470290_0000_180s,base,the relationship we apply,,the acquisitions we completed,needs_review,needs_review,0.000000,0.000000,Plausible but not glossary-supported.
earnings22_4470290_0000_180s,base,the same goal,,the same class,needs_review,needs_review,0.000000,0.000000,Uncertain; no glossary entry.
earnings22_4470290_0000_180s,base,our breaching,,our filings,needs_review,needs_review,0.000000,0.000000,Likely error but not in glossary.
earnings22_4470290_0000_180s,base,Damien Scotti,,Damien Scotti,needs_review,needs_review,0.000000,0.000000,Name not in glossary; cannot verify.
earnings22_4470290_0000_180s,base,CS4,,CFO,needs_review,needs_review,0.000000,0.000000,Likely ASR error but not in glossary.
earnings22_4470290_0000_180s,base,the stake in since the start,,the steps taken since the start,needs_review,needs_review,0.000000,0.000000,Plausible but not glossary-supported.
earnings22_4470290_0000_180s,base,pre-demand,,pent-up demand,needs_review,needs_review,0.000000,0.000000,Common phrase but not in glossary.
earnings22_4470290_0000_180s,base,domestic problems,,domestic travel,needs_review,needs_review,0.000000,0.000000,Likely error but not in glossary.
earnings22_4470290_0000_180s,base,International treatment,,International travel,needs_review,needs_review,0.000000,0.000000,Likely error but not in glossary.
earnings22_4469528_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4470570_0000_180s,base,U.S.,UEPS,UEPS,company_name,applied,0.000000,0.000000,Glossary maps 'U.S.' as an ASR error form of UEPS in earnings call context.
earnings22_4329526_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
