case_id,language,difficulty,variant,raw_asr_text,reference_text,retrieved_candidates,applied_corrections,corrected_text,expected_terms,true_positive_terms,false_positive_terms,missed_terms,unsupported_changes,needs_review,api_used,fallback_used,llm_provider,llm_model,prompt_version,term_precision,term_recall,term_f1,text_error_before,text_error_after,metric_name,correction_error,notes
term_004,en,easy,no_retrieval,speaker diary station answers who spoke when,speaker diarization answers who spoke when,[],[],speaker diary station answers who spoke when,"[""speaker diarization""]",[],[],"[""speaker diarization""]",[],False,False,False,,,,0.0,0.0,0.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_004,en,easy,exact_glossary,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_004,en,easy,fuzzy,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_004,en,easy,phonetic_like,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_004,en,easy,fused,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_004,en,easy,fused_plus_rule_correction,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]","[""speaker diary station -> speaker diarization""]",speaker diarization answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_004,en,easy,fused_plus_llm_correction,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]","[""speaker diary station -> speaker diarization""]",speaker diarization answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_005,en,easy,no_retrieval,the diary station output has two speakers,the diarization output has two speakers,[],[],the diary station output has two speakers,"[""diarization""]",[],[],"[""diarization""]",[],False,False,False,,,,0.0,0.0,0.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_005,en,easy,exact_glossary,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_005,en,easy,fuzzy,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_005,en,easy,phonetic_like,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_005,en,easy,fused,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_005,en,easy,fused_plus_rule_correction,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]","[""diary station -> diarization""]",the diarization output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_005,en,easy,fused_plus_llm_correction,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]","[""diary station -> diarization""]",the diarization output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_006,en,medium,no_retrieval,we evaluate diary zation before correction,we evaluate diarization before correction,[],[],we evaluate diary zation before correction,"[""diarization""]",[],[],"[""diarization""]",[],False,False,False,,,,0.0,0.0,0.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_006,en,medium,exact_glossary,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_006,en,medium,fuzzy,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_006,en,medium,phonetic_like,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_006,en,medium,fused,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_006,en,medium,fused_plus_rule_correction,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]","[""diary zation -> diarization""]",we evaluate diarization before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_006,en,medium,fused_plus_llm_correction,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]","[""diary zation -> diarization""]",We evaluate diarization before correction.,"[""diarization""]","[""diarization""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_007,en,hard,no_retrieval,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,[],[],the rack glossary retrieves technical terms,"[""RAG""]",[],[],"[""RAG""]",[],False,False,False,,,,0.0,0.0,0.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_007,en,hard,exact_glossary,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_007,en,hard,fuzzy,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_007,en,hard,phonetic_like,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_007,en,hard,fused,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_007,en,hard,fused_plus_rule_correction,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]","[""rack -> RAG""]",the RAG glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.166667,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_007,en,hard,fused_plus_llm_correction,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]","[""rack -> RAG""]",the RAG glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.166667,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_008,en,easy,no_retrieval,rag provides candidates to the correction model,RAG provides candidates to the correction model,[],[],rag provides candidates to the correction model,"[""RAG""]",[],[],"[""RAG""]",[],False,False,False,,,,0.0,0.0,0.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_008,en,easy,exact_glossary,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]",[],rag provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_008,en,easy,fuzzy,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]",[],rag provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_008,en,easy,phonetic_like,rag provides candidates to the correction model,RAG provides candidates to the correction model,[],[],rag provides candidates to the correction model,"[""RAG""]",[],[],"[""RAG""]",[],False,False,False,,,,0.0,0.0,0.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_008,en,easy,fused,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]",[],rag provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_008,en,easy,fused_plus_rule_correction,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]","[""rag -> RAG""]",RAG provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_008,en,easy,fused_plus_llm_correction,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]","[""rag -> RAG""]",RAG provides candidates to the correction model.,"[""RAG""]","[""RAG""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_009,en,hard,no_retrieval,we report where for the transcript benchmark,we report WER for the transcript benchmark,[],[],we report where for the transcript benchmark,"[""WER""]",[],[],"[""WER""]",[],False,False,False,,,,0.0,0.0,0.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_009,en,hard,exact_glossary,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]",[],we report where for the transcript benchmark,"[""WER""]","[""WER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_009,en,hard,fuzzy,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]",[],we report where for the transcript benchmark,"[""WER""]","[""WER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_009,en,hard,phonetic_like,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]",[],we report where for the transcript benchmark,"[""WER""]","[""WER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_009,en,hard,fused,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]",[],we report where for the transcript benchmark,"[""WER""]","[""WER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_009,en,hard,fused_plus_rule_correction,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]","[""where -> WER""]",we report WER for the transcript benchmark,"[""WER""]","[""WER""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.142857,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_009,en,hard,fused_plus_llm_correction,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]","[""where -> WER""]",We report WER for the transcript benchmark.,"[""WER""]","[""WER""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.142857,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_010,en,hard,no_retrieval,the ear measures speaker assignment mistakes,DER measures speaker assignment mistakes,[],[],the ear measures speaker assignment mistakes,"[""DER""]",[],[],"[""DER""]",[],False,False,False,,,,0.0,0.0,0.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_010,en,hard,exact_glossary,the ear measures speaker assignment mistakes,DER measures speaker assignment mistakes,"[""DER""]",[],the ear measures speaker assignment mistakes,"[""DER""]","[""DER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_010,en,hard,fuzzy,the ear measures speaker assignment mistakes,DER measures speaker assignment mistakes,"[""DER""]",[],the ear measures speaker assignment mistakes,"[""DER""]","[""DER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_010,en,hard,phonetic_like,the ear measures speaker assignment mistakes,DER measures speaker assignment mistakes,"[""DER""]",[],the ear measures speaker assignment mistakes,"[""DER""]","[""DER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_010,en,hard,fused,the ear measures speaker assignment mistakes,DER measures speaker assignment mistakes,"[""DER""]",[],the ear measures speaker assignment mistakes,"[""DER""]","[""DER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_010,en,hard,fused_plus_rule_correction,the ear measures speaker assignment mistakes,DER measures speaker assignment mistakes,"[""DER""]","[""the ear -> DER""]",DER measures speaker assignment mistakes,"[""DER""]","[""DER""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_010,en,hard,fused_plus_llm_correction,the ear measures speaker assignment mistakes,DER measures speaker assignment mistakes,"[""DER""]",[],the ear measures speaker assignment mistakes,"[""DER""]","[""DER""]",[],[],[],True,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.4,WER,LLM correction failed for provider deepseek: Correction changed word order or content beyond supported glossary substitutions.,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback. API output failed grounding validation; raw text was retained.
term_011,en,medium,no_retrieval,each temporal anger keeps a timestamp,each temporal anchor keeps a timestamp,[],[],each temporal anger keeps a timestamp,"[""temporal anchor""]",[],[],"[""temporal anchor""]",[],False,False,False,,,,0.0,0.0,0.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_011,en,medium,exact_glossary,each temporal anger keeps a timestamp,each temporal anchor keeps a timestamp,"[""temporal anchor""]",[],each temporal anger keeps a timestamp,"[""temporal anchor""]","[""temporal anchor""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_011,en,medium,fuzzy,each temporal anger keeps a timestamp,each temporal anchor keeps a timestamp,"[""temporal anchor""]",[],each temporal anger keeps a timestamp,"[""temporal anchor""]","[""temporal anchor""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_011,en,medium,phonetic_like,each temporal anger keeps a timestamp,each temporal anchor keeps a timestamp,"[""temporal anchor""]",[],each temporal anger keeps a timestamp,"[""temporal anchor""]","[""temporal anchor""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_011,en,medium,fused,each temporal anger keeps a timestamp,each temporal anchor keeps a timestamp,"[""temporal anchor""]",[],each temporal anger keeps a timestamp,"[""temporal anchor""]","[""temporal anchor""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_011,en,medium,fused_plus_rule_correction,each temporal anger keeps a timestamp,each temporal anchor keeps a timestamp,"[""temporal anchor""]","[""temporal anger -> temporal anchor""]",each temporal anchor keeps a timestamp,"[""temporal anchor""]","[""temporal anchor""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.166667,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
