clip_id,model_name,source_text,replacement_text,canonical_term,category,decision,wer_delta,term_recall_delta,reason
earnings22_4474955_0000_180s,tiny,U.S. Security and Exchange Commission,,U.S. Securities and Exchange Commission,no_op,no_op,0.000000,0.000000,Common geopolitical term; not a glossary correction target.
earnings22_4483046_0000_180s,tiny,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4468919_0000_180s,tiny,non-gap,non-GAAP,non-GAAP,financial_metric,applied,0.000000,1.000000,glossary error form for non-GAAP
earnings22_4468919_0000_180s,tiny,Wilma Negra,,unknown,needs_review,needs_review,0.000000,1.000000,no glossary match; possible company name but not in glossary
earnings22_4468919_0000_180s,tiny,Monegras,,unknown,needs_review,needs_review,0.000000,1.000000,no glossary match; possible company name but not in glossary
earnings22_4468919_0000_180s,tiny,Diego Hello,,unknown,needs_review,needs_review,0.000000,1.000000,no glossary match; possible name but not in glossary
earnings22_4468919_0000_180s,tiny,Marko Heradine,,unknown,needs_review,needs_review,0.000000,1.000000,no glossary match; possible name but not in glossary
earnings22_4468919_0000_180s,tiny,solely the man in high historic figures,,unknown,needs_review,needs_review,0.000000,1.000000,likely ASR error but no glossary support
earnings22_4468919_0000_180s,tiny,superset,,unknown,needs_review,needs_review,0.000000,1.000000,likely truncated word but no glossary match
earnings22_4475604_0000_180s,tiny,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4471586_0000_180s,tiny,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4482110_0000_180s,tiny,non-gap,non-GAAP,non-GAAP,financial_metric,applied,0.000000,1.000000,glossary entry for non-GAAP lists 'non-gap' as an ASR error form
earnings22_4446796_0000_180s,tiny,U.S.,UEPS,UEPS,company_name,rejected,0.000000,0.000000,"Glossary lists 'U.S.' as an ASR error form for UEPS, and context mentions 'security and exchange commission' which is a plausible misrecognition of UEPS Technologies context."
earnings22_4483623_0000_180s,tiny,42 cents per share,,cents a share,number_unit,no_op,0.000000,0.000000,Equivalent style variant; no semantic change required.
earnings22_4470290_0000_180s,tiny,U.S.,UEPS,UEPS,company_name,rejected,0.000000,0.000000,Glossary maps 'U.S.' as an ASR error form of UEPS in earnings call context.
earnings22_4470290_0000_180s,tiny,Attorney General Assembly about these principles,,GAAP,needs_review,needs_review,0.000000,0.000000,Likely misrecognition of 'generally accepted accounting principles' but not a direct glossary match; context supports GAAP but phrase is too long.
earnings22_4470290_0000_180s,tiny,norms of financial measures,,non-GAAP,needs_review,needs_review,0.000000,0.000000,Context suggests 'non-GAAP financial measures' but 'norms' is not a glossary error form.
earnings22_4470290_0000_180s,tiny,Desfigarde,,Aspen,needs_review,needs_review,0.000000,0.000000,Possible company name but not in glossary; context unclear.
earnings22_4469528_0000_180s,tiny,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4470570_0000_180s,tiny,U.S.,UEPS,UEPS,company_name,rejected,0.000000,0.000000,Glossary maps 'U.S.' as an ASR error form of 'UEPS' in earnings call context.
earnings22_4470570_0000_180s,tiny,renaxion,,VP of,needs_review,needs_review,0.000000,0.000000,Likely ASR error for 'VP of' but not in glossary; requires human judgment.
earnings22_4470570_0000_180s,tiny,webcastized,,webcast,needs_review,needs_review,0.000000,0.000000,Non-standard word; plausible ASR error but not in glossary.
earnings22_4470570_0000_180s,tiny,spotters,,risks,needs_review,needs_review,0.000000,0.000000,Likely ASR error for 'risks' but not in glossary.
earnings22_4470570_0000_180s,tiny,cents a share,,cents a share,number_unit,no_op,0.000000,0.000000,Already correct per glossary.
earnings22_4329526_0000_180s,tiny,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4474955_0000_180s,base,non-gap,non-GAAP,non-GAAP,financial_metric,applied,0.000000,1.000000,predefined glossary error form
earnings22_4474955_0000_180s,base,U.S.,,UEPS,needs_review,needs_review,0.000000,1.000000,"U.S. is a common geopolitical token; glossary entry for UEPS lists 'U.S.' as an error form, but in this context 'U.S. Securities and Exchange Commission' is correct and not a reference to UEPS."
earnings22_4483046_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4468919_0000_180s,base,non-gap,non-GAAP,non-GAAP,financial_metric,applied,0.000000,1.000000,glossary entry for non-GAAP lists 'non-gap' as an ASR error form
earnings22_4475604_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4471586_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4482110_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4446796_0000_180s,base,U.S.,UEPS,UEPS,company_name,rejected,0.000000,0.000000,Glossary lists 'U.S.' as an ASR error form for UEPS in earnings call context.
earnings22_4483623_0000_180s,base,42 cents per share,42 cents a share,cents a share,number_unit,no_op,0.000000,0.000000,Glossary specifies 'cents a share' as canonical; dividend context present.
earnings22_4470290_0000_180s,base,U.S.,UEPS,UEPS,company_name,rejected,0.000000,0.000000,Glossary lists 'U.S.' as an ASR error form for UEPS; context mentions 'including the same goal' which aligns with UEPS/Net1 earnings call.
earnings22_4469528_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
earnings22_4470570_0000_180s,base,U.S.,UEPS,UEPS,company_name,rejected,0.000000,0.000000,Glossary maps 'U.S.' to UEPS in earnings call context.
earnings22_4329526_0000_180s,base,,,,no_action,unchanged,0.000000,0.000000,"No safe glossary-grounded candidate was applied, or baseline already covered the glossary terms."
