example_id,source_experiment,case_id,variant,raw_text,corrected_text,reference_text,expected_label,language,template_group,is_augmented,retrieved_candidates,applied_corrections,overlap,uncertainty_level,api_used,notes,retrieval_candidate_count,applied_correction_count,expected_term_count,true_positive_term_count,false_positive_term_count,missed_term_count,term_precision,term_recall,term_f1,text_error_before,text_error_after,error_delta,num_changed_tokens,changed_token_ratio,edit_distance_ratio,overlap_flag,heavy_overlap_flag,uncertainty_score,needs_review_input_flag,correction_rejected_input_flag,unsupported_change_count,forbidden_change_count,invented_content_flag,speaker_attribution_changed_flag,api_used_flag,llm_variant_flag,rule_variant_flag,negative_control_flag,context_risk_score,language_en_flag,language_fr_flag,language_zh_flag,language_other_flag,source_term_rescue_flag,source_overlap_safety_flag,source_independent_flag
heldout__faster_whisper__reject,independent_manual,faster_whisper,heldout_llm_proposal,we tested faster whisper on cpu,we tested faster-whisper on CPU and it was real time,we tested faster-whisper on CPU,reject,en,independent:faster_whisper,False,"[""faster-whisper""]","[""proposal_2""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.7,0.4807692307692308,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.24619230769230768,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__faster_whisper__needs_review,independent_manual,faster_whisper,heldout_llm_proposal,we tested faster whisper on cpu,we tested faster-whisper,we tested faster-whisper on CPU,needs_review,en,independent:faster_whisper,False,"[""faster-whisper""]","[""proposal_3""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6666666666666666,0.25806451612903225,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.21346774193548387,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__ctranslate2__accept,independent_manual,ctranslate2,heldout_rule_proposal,see translate two runs the backend,CTranslate2 runs the backend,CTranslate2 runs the backend,accept,en,independent:ctranslate2,False,"[""CTranslate2""]","[""proposal_1""]",False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.2647058823529412,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2717647058823529,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__ctranslate2__reject,independent_manual,ctranslate2,heldout_llm_proposal,see translate two runs the backend,CTranslate2 runs the backend without memory limits,CTranslate2 runs the backend,reject,en,independent:ctranslate2,False,"[""CTranslate2""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.8571428571428571,0.62,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3786857142857143,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__ctranslate2__needs_review,independent_manual,ctranslate2,heldout_llm_proposal,see translate two runs the backend,CTranslate2 runs,CTranslate2 runs the backend,needs_review,en,independent:ctranslate2,False,"[""CTranslate2""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8333333333333334,0.6176470588235294,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3741176470588235,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__temporal_anchor__accept,independent_manual,temporal_anchor,heldout_rule_proposal,each temporal anger keeps a timestamp,each temporal anchor keeps a timestamp,each temporal anchor keeps a timestamp,accept,en,independent:temporal_anchor,False,"[""temporal anchor""]","[""proposal_1""]",False,low,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.07894736842105263,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10197368421052631,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__temporal_anchor__reject,independent_manual,temporal_anchor,heldout_llm_proposal,each temporal anger keeps a timestamp,each temporal anchor proves the transcript is correct,each temporal anchor keeps a timestamp,reject,en,independent:temporal_anchor,False,"[""temporal anchor""]","[""proposal_2""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.75,0.5471698113207547,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.26316037735849057,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__temporal_anchor__needs_review,independent_manual,temporal_anchor,heldout_llm_proposal,each temporal anger keeps a timestamp,each temporal anchor keeps,each temporal anchor keeps a timestamp,needs_review,en,independent:temporal_anchor,False,"[""temporal anchor""]","[""proposal_3""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.40540540540540543,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.20114864864864865,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__tagspeech_paper__accept,independent_manual,tagspeech_paper,heldout_rule_proposal,tag speech inspired the anchor format,TagSpeech inspired the anchor format,TagSpeech inspired the anchor format,accept,en,independent:tagspeech_paper,False,"[""TagSpeech""]","[""proposal_1""]",False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.08108108108108109,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.21972972972972973,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__tagspeech_paper__reject,independent_manual,tagspeech_paper,heldout_llm_proposal,tag speech inspired the anchor format,TagSpeech guarantees exact speaker labels,TagSpeech inspired the anchor format,reject,en,independent:tagspeech_paper,False,"[""TagSpeech""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.7073170731707317,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.41487804878048773,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__tagspeech_paper__needs_review,independent_manual,tagspeech_paper,heldout_llm_proposal,tag speech inspired the anchor format,TagSpeech inspired the format,TagSpeech inspired the anchor format,needs_review,en,independent:tagspeech_paper,False,"[""TagSpeech""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.2702702702702703,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2724324324324324,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__dm_asr_paper__accept,independent_manual,dm_asr_paper,heldout_rule_proposal,dm asr conditions on speaker time,DM-ASR conditions on speaker time,DM-ASR conditions on speaker time,accept,en,independent:dm_asr_paper,False,"[""DM-ASR""]","[""proposal_1""]",False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.18181818181818182,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2318181818181818,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__dm_asr_paper__reject,independent_manual,dm_asr_paper,heldout_llm_proposal,dm asr conditions on speaker time,DM-ASR solves all overlap errors,DM-ASR conditions on speaker time,reject,en,independent:dm_asr_paper,False,"[""DM-ASR""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.8181818181818182,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.42818181818181816,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__dm_asr_paper__needs_review,independent_manual,dm_asr_paper,heldout_llm_proposal,dm asr conditions on speaker time,DM-ASR conditions on speaker,DM-ASR conditions on speaker time,needs_review,en,independent:dm_asr_paper,False,"[""DM-ASR""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.3333333333333333,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.27999999999999997,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__physical_rack__accept,independent_manual,physical_rack,heldout_rule_proposal,put the recorder on the metal rack,put the recorder on the metal rack,put the recorder on the metal rack,accept,en,independent:physical_rack,False,"[""RAG""]",[],False,low,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__physical_rack__reject,independent_manual,physical_rack,heldout_llm_proposal,put the recorder on the metal rack,put the recorder on the metal RAG,put the recorder on the metal rack,reject,en,independent:physical_rack,False,"[""RAG""]","[""proposal_2""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.11764705882352941,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.10233193277310924,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__physical_rack__needs_review,independent_manual,physical_rack,heldout_llm_proposal,put the recorder on the metal rack,put the recorder on the rack,put the recorder on the metal rack,needs_review,en,independent:physical_rack,False,"[""RAG""]","[""proposal_3""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.17647058823529413,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.10939075630252101,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__location_where__accept,independent_manual,location_where,heldout_rule_proposal,where did you leave the microphone,where did you leave the microphone,where did you leave the microphone,accept,en,independent:location_where,False,"[""WER""]",[],False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__location_where__reject,independent_manual,location_where,heldout_llm_proposal,where did you leave the microphone,WER did you leave the microphone,where did you leave the microphone,reject,en,independent:location_where,False,"[""WER""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.14705882352941177,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1976470588235294,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__location_where__needs_review,independent_manual,location_where,heldout_llm_proposal,where did you leave the microphone,where did you leave the,where did you leave the microphone,needs_review,en,independent:location_where,False,"[""WER""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.3235294117647059,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2188235294117647,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__greeting_dear__accept,independent_manual,greeting_dear,heldout_rule_proposal,dear team please review the minutes,dear team please review the minutes,dear team please review the minutes,accept,en,independent:greeting_dear,False,"[""DER""]",[],False,medium,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__greeting_dear__reject,independent_manual,greeting_dear,heldout_llm_proposal,dear team please review the minutes,DER team please review the minutes,dear team please review the minutes,reject,en,independent:greeting_dear,False,"[""DER""]","[""proposal_2""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.11428571428571428,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1937142857142857,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__greeting_dear__needs_review,independent_manual,greeting_dear,heldout_llm_proposal,dear team please review the minutes,dear team please review,dear team please review the minutes,needs_review,en,independent:greeting_dear,False,"[""DER""]","[""proposal_3""]",False,medium,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.34285714285714286,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2511428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__quiet_whisper__accept,independent_manual,quiet_whisper,heldout_rule_proposal,please whisper while the call is recording,please whisper while the call is recording,please whisper while the call is recording,accept,en,independent:quiet_whisper,False,"[""Whisper""]",[],False,low,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__quiet_whisper__reject,independent_manual,quiet_whisper,heldout_llm_proposal,please whisper while the call is recording,please Whisper while the call is recording,please whisper while the call is recording,reject,en,independent:quiet_whisper,False,"[""Whisper""]","[""proposal_2""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06535714285714286,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__quiet_whisper__needs_review,independent_manual,quiet_whisper,heldout_llm_proposal,please whisper while the call is recording,please whisper while the call,please whisper while the call is recording,needs_review,en,independent:quiet_whisper,False,"[""Whisper""]","[""proposal_3""]",False,low,True,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857,0.30952380952380953,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.15107142857142858,1.0,0.0,0.0,0.0,0.0,0.0,1.0
heldout__generic_tag_speech__accept,independent_manual,generic_tag_speech,heldout_rule_proposal,tag speech as unclear in the notes,tag speech as unclear in the notes,tag speech as unclear in the notes,accept,en,independent:generic_tag_speech,False,"[""TagSpeech""]",[],False,high,False,Manually authored independent proposal. Final audit outcome fields intentionally omitted.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0
