example_id,source_experiment,case_id,variant,raw_text,corrected_text,reference_text,expected_label,label_reason,label_ambiguous,safety_pass,needs_review,correction_rejected,unsupported_change_count,forbidden_change_count,invented_content,speaker_attribution_changed,overlap,uncertainty_level,language,notes,template_group,is_augmented,retrieved_candidates,applied_corrections,expected_terms,true_positive_terms,false_positive_terms,missed_terms,api_used,retrieval_candidate_count,applied_correction_count,expected_term_count,true_positive_term_count,false_positive_term_count,missed_term_count,term_precision,term_recall,term_f1,text_error_before,text_error_after,error_delta,num_changed_tokens,changed_token_ratio,edit_distance_ratio,overlap_flag,heavy_overlap_flag,uncertainty_score,needs_review_input_flag,correction_rejected_input_flag,unsupported_change_count,forbidden_change_count,invented_content_flag,speaker_attribution_changed_flag,api_used_flag,llm_variant_flag,rule_variant_flag,negative_control_flag,context_risk_score
term_rescue__term_002__phonetic_like__0011,term_rescue,term_002,phonetic_like,pie anode produced the speaker turns,pie anode produced the speaker turns,pyannote produced the speaker turns,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.,term_rescue:term_002,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_002__fused__0012,term_rescue,term_002,fused,pie anode produced the speaker turns,pie anode produced the speaker turns,pyannote produced the speaker turns,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.,term_rescue:term_002,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_002__fused_plus_rule_correction__0013,term_rescue,term_002,fused_plus_rule_correction,pie anode produced the speaker turns,pyannote produced the speaker turns,pyannote produced the speaker turns,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.,term_rescue:term_002,False,"[""pyannote"", ""pyannote.audio""]","[""pie anode -> pyannote""]","[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.4,0.0,0.4,2.0,0.3333333333333333,0.1388888888888889,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05
term_rescue__term_002__fused_plus_llm_correction__0014,term_rescue,term_002,fused_plus_llm_correction,pie anode produced the speaker turns,pyannote produced the speaker turns,pyannote produced the speaker turns,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.,term_rescue:term_002,False,"[""pyannote"", ""pyannote.audio""]","[""pie anode -> pyannote""]","[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],True,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.4,0.0,0.4,2.0,0.3333333333333333,0.1388888888888889,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05
term_rescue__term_003__no_retrieval__0015,term_rescue,term_003,no_retrieval,the pipeline imports piano note audio,the pipeline imports piano note audio,the pipeline imports pyannote.audio,needs_review,supported target remains unresolved,True,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.,term_rescue:term_003,False,[],[],"[""pyannote.audio""]",[],[],"[""pyannote.audio""]",False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_003__exact_glossary__0016,term_rescue,term_003,exact_glossary,the pipeline imports piano note audio,the pipeline imports piano note audio,the pipeline imports pyannote.audio,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.,term_rescue:term_003,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_003__fuzzy__0017,term_rescue,term_003,fuzzy,the pipeline imports piano note audio,the pipeline imports piano note audio,the pipeline imports pyannote.audio,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.,term_rescue:term_003,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_003__phonetic_like__0018,term_rescue,term_003,phonetic_like,the pipeline imports piano note audio,the pipeline imports piano note audio,the pipeline imports pyannote.audio,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.,term_rescue:term_003,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_003__fused__0019,term_rescue,term_003,fused,the pipeline imports piano note audio,the pipeline imports piano note audio,the pipeline imports pyannote.audio,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.,term_rescue:term_003,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_003__fused_plus_rule_correction__0020,term_rescue,term_003,fused_plus_rule_correction,the pipeline imports piano note audio,the pipeline imports pyannote.audio,the pipeline imports pyannote.audio,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.,term_rescue:term_003,False,"[""pyannote"", ""pyannote.audio""]","[""piano note audio -> pyannote.audio""]","[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],False,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.75,3.0,0.5,0.10810810810810811,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05
term_rescue__term_003__fused_plus_llm_correction__0021,term_rescue,term_003,fused_plus_llm_correction,the pipeline imports piano note audio,the pipeline imports piano note audio,the pipeline imports pyannote.audio,reject,explicitly rejected; strict correction validation failed; safety policy failed,False,False,True,True,0.0,0.0,False,False,False,medium,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback. API output failed grounding validation; raw text was retained.,term_rescue:term_003,False,"[""pyannote"", ""pyannote.audio""]",[],"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],True,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.22
term_rescue__term_004__no_retrieval__0022,term_rescue,term_004,no_retrieval,speaker diary station answers who spoke when,speaker diary station answers who spoke when,speaker diarization answers who spoke when,needs_review,supported target remains unresolved,True,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.,term_rescue:term_004,False,[],[],"[""speaker diarization""]",[],[],"[""speaker diarization""]",False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_004__exact_glossary__0023,term_rescue,term_004,exact_glossary,speaker diary station answers who spoke when,speaker diary station answers who spoke when,speaker diarization answers who spoke when,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.,term_rescue:term_004,False,"[""diarization"", ""speaker diarization""]",[],"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_004__fuzzy__0024,term_rescue,term_004,fuzzy,speaker diary station answers who spoke when,speaker diary station answers who spoke when,speaker diarization answers who spoke when,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.,term_rescue:term_004,False,"[""diarization"", ""speaker diarization""]",[],"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_004__phonetic_like__0025,term_rescue,term_004,phonetic_like,speaker diary station answers who spoke when,speaker diary station answers who spoke when,speaker diarization answers who spoke when,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.,term_rescue:term_004,False,"[""diarization"", ""speaker diarization""]",[],"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_004__fused__0026,term_rescue,term_004,fused,speaker diary station answers who spoke when,speaker diary station answers who spoke when,speaker diarization answers who spoke when,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.,term_rescue:term_004,False,"[""diarization"", ""speaker diarization""]",[],"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],False,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_004__fused_plus_rule_correction__0027,term_rescue,term_004,fused_plus_rule_correction,speaker diary station answers who spoke when,speaker diarization answers who spoke when,speaker diarization answers who spoke when,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.,term_rescue:term_004,False,"[""diarization"", ""speaker diarization""]","[""speaker diary station -> speaker diarization""]","[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],False,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.0,0.333333,2.0,0.2857142857142857,0.09090909090909091,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05
term_rescue__term_004__fused_plus_llm_correction__0028,term_rescue,term_004,fused_plus_llm_correction,speaker diary station answers who spoke when,speaker diarization answers who spoke when,speaker diarization answers who spoke when,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.,term_rescue:term_004,False,"[""diarization"", ""speaker diarization""]","[""speaker diary station -> speaker diarization""]","[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],True,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.0,0.333333,2.0,0.2857142857142857,0.09090909090909091,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05
term_rescue__term_005__no_retrieval__0029,term_rescue,term_005,no_retrieval,the diary station output has two speakers,the diary station output has two speakers,the diarization output has two speakers,needs_review,supported target remains unresolved,True,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.,term_rescue:term_005,False,[],[],"[""diarization""]",[],[],"[""diarization""]",False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_005__exact_glossary__0030,term_rescue,term_005,exact_glossary,the diary station output has two speakers,the diary station output has two speakers,the diarization output has two speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.,term_rescue:term_005,False,"[""diarization""]",[],"[""diarization""]","[""diarization""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_005__fuzzy__0031,term_rescue,term_005,fuzzy,the diary station output has two speakers,the diary station output has two speakers,the diarization output has two speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.,term_rescue:term_005,False,"[""diarization""]",[],"[""diarization""]","[""diarization""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_005__phonetic_like__0032,term_rescue,term_005,phonetic_like,the diary station output has two speakers,the diary station output has two speakers,the diarization output has two speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.,term_rescue:term_005,False,"[""diarization""]",[],"[""diarization""]","[""diarization""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_005__fused__0033,term_rescue,term_005,fused,the diary station output has two speakers,the diary station output has two speakers,the diarization output has two speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.,term_rescue:term_005,False,"[""diarization""]",[],"[""diarization""]","[""diarization""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_005__fused_plus_rule_correction__0034,term_rescue,term_005,fused_plus_rule_correction,the diary station output has two speakers,the diarization output has two speakers,the diarization output has two speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.,term_rescue:term_005,False,"[""diarization""]","[""diary station -> diarization""]","[""diarization""]","[""diarization""]",[],[],False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.0,0.333333,2.0,0.2857142857142857,0.0975609756097561,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05
term_rescue__term_005__fused_plus_llm_correction__0035,term_rescue,term_005,fused_plus_llm_correction,the diary station output has two speakers,the diarization output has two speakers,the diarization output has two speakers,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.,term_rescue:term_005,False,"[""diarization""]","[""diary station -> diarization""]","[""diarization""]","[""diarization""]",[],[],True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.0,0.333333,2.0,0.2857142857142857,0.0975609756097561,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05
term_rescue__term_006__no_retrieval__0036,term_rescue,term_006,no_retrieval,we evaluate diary zation before correction,we evaluate diary zation before correction,we evaluate diarization before correction,needs_review,supported target remains unresolved,True,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.,term_rescue:term_006,False,[],[],"[""diarization""]",[],[],"[""diarization""]",False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_006__exact_glossary__0037,term_rescue,term_006,exact_glossary,we evaluate diary zation before correction,we evaluate diary zation before correction,we evaluate diarization before correction,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.,term_rescue:term_006,False,"[""diarization""]",[],"[""diarization""]","[""diarization""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_006__fuzzy__0038,term_rescue,term_006,fuzzy,we evaluate diary zation before correction,we evaluate diary zation before correction,we evaluate diarization before correction,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.,term_rescue:term_006,False,"[""diarization""]",[],"[""diarization""]","[""diarization""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
term_rescue__term_006__phonetic_like__0039,term_rescue,term_006,phonetic_like,we evaluate diary zation before correction,we evaluate diary zation before correction,we evaluate diarization before correction,accept,supported correction or safe preservation,False,True,False,False,0.0,0.0,False,False,False,low,en,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.,term_rescue:term_006,False,"[""diarization""]",[],"[""diarization""]","[""diarization""]",[],[],False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
