proposal_id,source,dataset,sample_id,language,audio_path,asr_model,correction_source,category,raw_asr_text,proposed_corrected_text,reference_text,context,retrieved_terms,overlap_flag,heavy_overlap_flag,speaker_ambiguity_flag,partial_utterance_flag,error_before,error_after,error_delta,binary_label,label_source,label_rule,needs_human_check,notes
real::fleurs_en_1510_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1510,en,data/raw/public/common_voice/en/fleurs_en_1510.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,The UN also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,The UN also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,The U.N. also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.05,0.05,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1510_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1548_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1548,en,data/raw/public/common_voice/en/fleurs_en_1548.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"When you call someone who is thousands of miles away, you are using a satellite.","When you call someone who is thousands of miles away, you are using a satellite.","When you call someone who is thousands of miles away, you are using a satellite.",Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.0,0.0,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1548_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1578_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1578,en,data/raw/public/common_voice/en/fleurs_en_1578.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,Then lock us in to the lead and singing the passions.,Then lock us in to the lead and singing the passions.,"Then, Lakkha Singh took the lead in singing the bhajans.",Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.7,0.7,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1578_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1620_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1620,en,data/raw/public/common_voice/en/fleurs_en_1620.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Now, widely available throughout the Archipelago, Japanese cuisine features an array of simply seasoned dishes, the predominant flavorings, the Japanese favor being peanuts, chilies, sugar, especially Japanese coconut sugar and various aromatic spices.","Now, widely available throughout the Archipelago, Japanese cuisine features an array of simply seasoned dishes, the predominant flavorings, the Japanese favor being peanuts, chilies, sugar, especially Japanese coconut sugar and various aromatic spices.","Now widely available throughout the archipelago, Javanese cuisine features an array of simply seasoned dishes, the predominant flavorings the Javanese favor being peanuts, chillies, sugar (especially Javanese coconut sugar) and various aromatic spices.",Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.2727,0.2727,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1620_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1652_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1652,en,data/raw/public/common_voice/en/fleurs_en_1652.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,The major religion in Moldova is Orthodox Christian.,The major religion in Moldova is Orthodox Christian.,The major religion in Moldova is Orthodox Christian.,Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.0,0.0,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1652_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1524_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1524,fr,data/raw/public/common_voice/fr/fleurs_fr_1524.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Il y a de nombreuses répercussions sociales et politiques dès que l 'utilisation du système métrique, le passage de l 'absolutisme au républicanisme, une nationalisme et une conviction que le pays appartient au peuple et non à un seul d 'argent.","Il y a de nombreuses répercussions sociales et politiques dès que l 'utilisation du système métrique, le passage de l 'absolutisme au républicanisme, une nationalisme et une conviction que le pays appartient au peuple et non à un seul d 'argent.","Il y a de nombreuses répercussions sociales et politiques telles que l'utilisation du système métrique, le passage de l'absolutisme au républicanisme, le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant.",Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.2368,0.2368,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1524_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1533_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1533,fr,data/raw/public/common_voice/fr/fleurs_fr_1533.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"De nombreux formats courants, familles, de formes APS, par exemple sans égo, à ce rapport d 'aspect ou sans rapproche de vrai.","De nombreux formats courants, familles, de formes APS, par exemple sans égo, à ce rapport d 'aspect ou sans rapproche de vrai.","De nombreux formats courants (famille de formats APS, par exemple) sont égaux à ce rapport d’aspect ou s’en approchent de près.",Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.5238,0.5238,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1533_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1570_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1570,fr,data/raw/public/common_voice/fr/fleurs_fr_1570.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Il n 'avait pas non plus le pouvoir de diriger au même fiscal, il y a celles sur les droits de bois d 'entre les états.","Il n 'avait pas non plus le pouvoir de diriger au même fiscal, il y a celles sur les droits de bois d 'entre les états.",Il n'avait pas non plus le pouvoir de déroger aux lois fiscales ni à celles sur les droits de douane entre les États.,Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.5217,0.5217,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1570_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1620_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1620,fr,data/raw/public/common_voice/fr/fleurs_fr_1620.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Maintenant, largement disponible dans tout l 'archipel, la cuisine javaneuse propose un éventail de passe simplement à ses onnets, des savers prédominantes que le javane est privé léger, étant les cacahuètes, les piments, le sucre en particulier le sucre de coco javane et diverses épices aromatiques.","Maintenant, largement disponible dans tout l 'archipel, la cuisine javaneuse propose un éventail de passe simplement à ses onnets, des savers prédominantes que le javane est privé léger, étant les cacahuètes, les piments, le sucre en particulier le sucre de coco javane et diverses épices aromatiques.","Maintenant, largement disponible dans tout l’archipel, la cuisine javanaise propose un éventail de plats simplement assaisonnés, les saveurs prédominantes que les Javanais privilégient étant les cacahuètes, les piments, le sucre (en particulier le sucre de coco javanais) et diverses épices aromatiques.",Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.3902,0.3902,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1620_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1652_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1652,fr,data/raw/public/common_voice/fr/fleurs_fr_1652.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,La principale religion en Moldavia est le cristianisme orthodoxe.,La principale religion en Moldavia est le cristianisme orthodoxe.,La principale religion en Moldavie est le christianisme orthodoxe.,Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.2222,0.2222,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1652_conversation_map.json; correction via conversation_map_anchor:constrained_correction
